ID,PROVINCIA,COMUNIDAD,P_FELICIDAD,P_SALUD,S_NIVEL_VIDA,S_LABORAL,S_AMOR,S_SEXO,PAREJA,AÑOS_PAREJA,S_PAREJA,CONVIVE_PAREJA,CASADO,AFINIDAD_GEN,AFINIDAD_GUSTOS,AFINIDAD_SOCIAL,AFINIDAD_ECONOMI,AFINIDAD_SEX,IMPORTANCIA_SEX,IMPORTANCIA_SEX_PAREJA,EDUCACION_S,ATRACION_P,N_PAREJAS,COMUNICACION_SEX,R_EXT_MATRIMONIAL,ATRACCIÓN,F_SEXO,F_ANUAL,SEXO,EDAD,E_CIVIL,ESTUDIOS,SIT_LABORAL,OCUPACION,STATUS,NACIONALIDAD,RELIGION,SIT_ENT,PERCEPCION_EN,BIENESTAR
3,Madrid,Madrid,4,2,1,0,5,4,1,14,5,1,1,3,5,5,4,5,7,7,0,0,3,3,0,1,Mensualmente,0,1,38,1,2,2,Obrero,1,1,1,1,1,1.75
6,Granada,Andalucía,4,5,4,4,5,4,1,38,4,1,1,3,5,4,4,4,8,8,0,0,1,3,0,1,Regularmente,1,1,61,1,1,2,Mando,1,1,1,0,2,4.25
17,Granada,Andalucía,4,5,4,4,5,5,1,24,5,1,1,4,5,5,4,5,7,7,0,0,30,3,1,1,Regularmente,1,0,49,1,2,2,Obrero,1,1,0,0,2,4.25
24,Jaén,Andalucía,5,4,5,5,6,5,1,17,5,1,1,3,4,4,4,5,9,9,0,0,3,3,0,1,Regularmente,0,0,40,1,2,2,Obrero,1,1,1,0,2,4.75
26,Sevilla,Andalucía,4,3,2,1,5,4,1,16,4,1,1,3,4,5,3,4,10,7,0,0,3,3,1,1,Regularmente,0,0,34,1,2,2,Obrero,1,1,0,0,1,2.5
32,Madrid,Madrid,2,2,4,2,5,2,1,17,2,1,1,2,4,3,4,3,8,8,0,0,5,1,0,1,Mensualmente,1,1,46,1,4,2,Mando,1,1,0,1,1,2.5
37,Madrid,Madrid,5,4,3,4,6,5,1,4,5,1,0,4,5,5,3,5,8,8,0,0,100,3,1,2,Regularmente,1,0,28,0,2,0,Mando,1,0,1,0,2,4.0
42,Sevilla,Andalucía,3,5,5,4,4,2,1,32,4,1,1,3,4,4,4,4,6,6,0,0,5,3,0,2,Mensualmente,1,0,61,1,1,2,Obrero,1,1,1,0,2,4.25
51,Madrid,Madrid,2,3,1,1,2,1,1,40,2,1,1,0,2,4,3,3,1,0,0,0,1,3,0,1,Mensualmente,1,1,49,1,2,2,Administrativo,1,1,1,1,2,1.75
63,Santander,Cantabria,4,5,4,0,5,4,1,45,4,1,1,3,4,4,4,4,5,10,0,0,1,3,0,1,Mensualmente,1,1,68,1,1,2,Agricultor,0,1,1,0,2,3.25
