,COMUNIDAD,S_AMOR,AÑOS_PAREJA,S_PAREJA,CONVIVE_PAREJA,AFINIDAD_GEN,AFINIDAD_GUSTOS,AFINIDAD_SOCIAL,AFINIDAD_ECONOMI,AFINIDAD_SEX,IMPORTANCIA_SEX,IMPORTANCIA_SEX_PAREJA,EDUCACION_S,ATRACION_P,N_PAREJAS,COMUNICACION_SEX,R_EXT_MATRIMONIAL,ATRACCIÓN,F_ANUAL,SEXO,EDAD,ESTUDIOS,SIT_LABORAL,STATUS,NACIONALIDAD,RELIGION,BIENESTAR,OCUPACION_Agricultor,OCUPACION_Autónomo,OCUPACION_Comerciante,OCUPACION_Director,OCUPACION_Mando,OCUPACION_Obrero,OCUPACION_Otro,F_SEXO_Diariamente,F_SEXO_Mensualmente,F_SEXO_Ocasionalmente,F_SEXO_Regularmente,F_SEXO_Sin actividad sexual
0,12,4,14,5,1,3,5,5,4,5,7,7,0,0,2,3,0,1,0,1,38,2,2,1,1,1,1.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1,4,38,4,1,3,5,4,4,4,8,8,0,0,1,3,0,1,1,1,61,1,2,1,1,1,4.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,1,4,24,5,1,4,5,5,4,5,7,7,0,0,6,3,1,1,1,0,49,2,2,1,1,0,4.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,1,5,17,5,1,3,4,4,4,5,9,9,0,0,2,3,0,1,0,0,40,2,2,1,1,1,4.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4,1,4,16,4,1,3,4,5,3,4,10,7,0,0,2,3,1,1,0,0,34,2,2,1,1,0,2.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5,12,4,17,2,1,2,4,3,4,3,8,8,0,0,3,1,0,1,1,1,46,4,2,1,1,0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,12,5,4,5,1,4,5,5,3,5,8,8,0,0,6,3,1,2,1,0,28,2,0,1,0,1,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,1,3,32,4,1,3,4,4,4,4,6,6,0,0,3,3,0,2,1,0,61,1,2,1,1,1,4.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
8,12,1,40,2,1,0,2,4,3,3,1,0,0,0,1,3,0,1,1,1,49,2,2,1,1,1,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
9,6,4,45,4,1,3,4,4,4,4,5,10,0,0,1,3,0,1,1,1,68,1,2,0,1,1,3.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
